title,link,deadline
Transatlantic Bridge Professorships,www.volkswagenstiftung.de/en/funding/funding-offer/transatlantic-bridge-professorships,Applications can be submitted at any time
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,No open call
Momentum – Funding for Recently Tenured Professors,www.volkswagenstiftung.de/en/funding/funding-offer/momentum-funding-recently-tenured-professors,14 April 2026 Deadline 06 April 2027 Deadline 04 April 2028 Stichtag
Change! Fellowships ,www.volkswagenstiftung.de/en/funding/funding-offer/change-fellowships,Online Q&As: 30 March and 10 April 16 April 2026 deadline Fellowships (next deadline in 2027) Research Groups: No further calls
Navigating a Transforming World Order: Fellowships on Security and Technology,www.volkswagenstiftung.de/en/funding/funding-offer/navigating-transforming-world-order-fellowships-security-and-technology,"05 May 2026 Deadline Online Q&A: 9 April , 10 a.m."
zukunft.niedersachsen: Lower Saxony Impulse Professorship,https://zukunft.niedersachsen.de/foerderangebot/niedersachsen-impuls-professur/,01 June 2026 Deadline
zukunft.niedersachsen: Boost Research! Seed Grants for Lower Saxony,https://zukunft.niedersachsen.de/foerderangebot/boost-research-seed-grants-fuer-niedersachsen/,02 June 2026 Deadline
Researching Research: Strengthening University Centres,www.volkswagenstiftung.de/en/funding/funding-offer/researching-research-strengthening-university-centres,23 June 2026 Deadline
Transatlantic Bridge Professorships,www.volkswagenstiftung.de/en/funding/funding-offer/transatlantic-bridge-professorships,Applications can be submitted at any time
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,No open call
Momentum – Funding for Recently Tenured Professors,www.volkswagenstiftung.de/en/funding/funding-offer/momentum-funding-recently-tenured-professors,14 April 2026 Deadline 06 April 2027 Deadline 04 April 2028 Stichtag
Change! Fellowships ,www.volkswagenstiftung.de/en/funding/funding-offer/change-fellowships,Online Q&As: 30 March and 10 April 16 April 2026 deadline Fellowships (next deadline in 2027) Research Groups: No further calls
Navigating a Transforming World Order: Fellowships on Security and Technology,www.volkswagenstiftung.de/en/funding/funding-offer/navigating-transforming-world-order-fellowships-security-and-technology,"05 May 2026 Deadline Online Q&A: 9 April , 10 a.m."
zukunft.niedersachsen: Lower Saxony Impulse Professorship,https://zukunft.niedersachsen.de/foerderangebot/niedersachsen-impuls-professur/,01 June 2026 Deadline
zukunft.niedersachsen: Boost Research! Seed Grants for Lower Saxony,https://zukunft.niedersachsen.de/foerderangebot/boost-research-seed-grants-fuer-niedersachsen/,02 June 2026 Deadline
Researching Research: Strengthening University Centres,www.volkswagenstiftung.de/en/funding/funding-offer/researching-research-strengthening-university-centres,23 June 2026 Deadline
Transatlantic Bridge Professorships,www.volkswagenstiftung.de/en/funding/funding-offer/transatlantic-bridge-professorships,Applications can be submitted at any time
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,No open call
Momentum – Funding for Recently Tenured Professors,www.volkswagenstiftung.de/en/funding/funding-offer/momentum-funding-recently-tenured-professors,14 April 2026 Deadline 06 April 2027 Deadline 04 April 2028 Stichtag
Change! Fellowships ,www.volkswagenstiftung.de/en/funding/funding-offer/change-fellowships,Online Q&As: 30 March and 10 April 16 April 2026 deadline Fellowships (next deadline in 2027) Research Groups: No further calls
Navigating a Transforming World Order: Fellowships on Security and Technology,www.volkswagenstiftung.de/en/funding/funding-offer/night-science-space-creative-mind,Next deadline presumably at the beginning of 2027
Circularity With Recycled and Biogenic Resources,www.volkswagenstiftung.de/en/funding/funding-offer/circularity-recycled-and-biogenic-resources,No open call
zukunft.niedersachsen: Research Cooperation Lower Saxony – Israel,https://zukunft.niedersachsen.de/en/funding-offers/research-cooperation-lower-saxony-israel/,Deadline: expected in early summer 2027
Transdisciplinary Approaches to Mobility and Global Health,www.volkswagenstiftung.de/en/funding/funding-offer/transdisciplinary-approaches-mobility-and-global-health,No open call
Transformational Knowledge on Democracies under Change – Transdisciplinary Perspectives,www.volkswagenstiftung.de/en/funding/funding-offer/transformational-knowledge-democracies-under-change-transdisciplinary-perspectives,Task forces: A modified call is expected to be published in autumn 2026. Collaborative projects: The funding line is currently being evaluated.
Opus Magnum,www.volkswagenstiftung.de/en/funding/funding-offer/opus-magnum,18 November 2026 Deadline
AI Research Groups Lower Saxony,https://zukunft.niedersachsen.de/foerderangebot/ki-forschungsgruppen-niedersachsen/,Deadline: autumn 2026
Pioneering Research – Exploring the Unknown Unknown,www.volkswagenstiftung.de/en/funding/funding-offer/pioneering-research-exploring-unknown-unknown,The call is currently under review and will be republished in 2026.
Night Science – Space for the Creative Mind,www.volkswagenstiftung.de/en/funding/funding-offer/night-science-space-creative-mind,Next deadline presumably at the beginning of 2027
Circularity With Recycled and Biogenic Resources,www.volkswagenstiftung.de/en/funding/funding-offer/circularity-recycled-and-biogenic-resources,No open call
zukunft.niedersachsen: Research Cooperation Lower Saxony – Israel,https://zukunft.niedersachsen.de/en/funding-offers/research-cooperation-lower-saxony-israel/,Deadline: expected in early summer 2027
Transdisciplinary Approaches to Mobility and Global Health,www.volkswagenstiftung.de/en/funding/funding-offer/transdisciplinary-approaches-mobility-and-global-health,No open call
Impetus for the German Science System: Strategic Experimental Spaces – University Development Requires Flexibility,www.volkswagenstiftung.de/en/funding/funding-offer/impetus-german-science-system-strategic-experimental-spaces-university-development-requires-flexibility,No open call 11 September 2026: Meeting for Funded Projects
Data Reuse – Additional Funding for the Preparation and Storage of Research Data (Open Science),www.volkswagenstiftung.de/en/funding/funding-offer/data-reuse-additional-funding-preparation-and-storage-research-data-open-science,Apply anytime
zukunft.niedersachsen: Lower Saxony Professorship,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-professorship/,Application at any time after consultation with the Volkswagen Foundation
Pioneer Projects – Impetus for the German Research System,www.volkswagenstiftung.de/en/funding/funding-offer/pioneer-projects-impetus-german-research-system,No open call 11 September 2026: Meeting of funded projects
Perspectives on Wealth,www.volkswagenstiftung.de/en/funding/funding-offer/perspectives-wealth-repercussions-wealth,No further call for proposals is currently planned
Lower Saxony – Scotland Research and Innovation Scheme: Stream II – Excellence Track ,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-scotland-research-and-innovation-scheme-stream-ii-excellence-track/,Next deadline expected in summer 2026
